date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:31	379/379	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:19:22%20GMT	https://www.thefightersclub.com.hk/robots.txt		(from )
15:48:32	722617/722617	---MCZ	200	added ('OK')	text/html	etag:W/%221fdc2353c019baf4bd4cc403aed7cb96%22	https://www.thefightersclub.com.hk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/www.thefightersclub.com.hk/index.html	(from )
15:48:32	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.thefightersclub.com.hk/)
15:48:32	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.thefightersclub.com.hk/)
15:48:33	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/polyfill.io/v3/polyfill.mind82c.js	(from https://www.thefightersclub.com.hk/)
15:48:33	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.thefightersclub.com.hk/)
15:48:34	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:19:25%20GMT	https://www.thefightersclub.com.hk/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/www.thefightersclub.com.hk/decodeURIComponent(e	(from https://www.thefightersclub.com.hk/)
15:48:34	380/380	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:19:26%20GMT	https://www.thefightersclub.com.hk/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/www.thefightersclub.com.hk/sitemap.xml	(from https://www.thefightersclub.com.hk/)
15:48:35	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:19:26%20GMT	https://www.thefightersclub.com.hk/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/www.thefightersclub.com.hk/feed.xml	(from https://www.thefightersclub.com.hk/)
15:48:35	90316/90316	---M-Z	200	added ('OK')	application/javascript	etag:W/%229ecd1d6eae0ad89fe0948e04cbb4eedb%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	(from https://www.thefightersclub.com.hk/)
15:48:35	171637/171637	---M-Z	200	added ('OK')	application/javascript	etag:W/%2246b9d4ddc65f6e9e57211e2a070f0fd1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	(from https://www.thefightersclub.com.hk/)
15:48:36	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.thefightersclub.com.hk/)
15:48:36	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.thefightersclub.com.hk/)
15:48:36	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.thefightersclub.com.hk/)
15:48:37	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.thefightersclub.com.hk/)
15:48:37	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.thefightersclub.com.hk/)
15:48:37	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web42/Site42/static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	(from https://www.thefightersclub.com.hk/)
